epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,158.683,0.75561,0.56322,1.00051,0.92848,0.85112,0.91388,0.77901,0.65541,0.43528,0.89391,2.94644e-05,2.94644e-05,2.94644e-05
40,162.536,0.76007,0.57237,0.9841,0.92748,0.85399,0.91201,0.78165,0.65027,0.43162,0.89235,2.71082e-05,2.71082e-05,2.71082e-05
41,167.339,0.78422,0.69978,0.9846,0.92258,0.85959,0.91444,0.78242,0.65482,0.43651,0.89468,2.4752e-05,2.4752e-05,2.4752e-05
42,171.325,0.80402,0.68629,0.98132,0.90942,0.86585,0.91008,0.77881,0.65676,0.43993,0.89585,2.23958e-05,2.23958e-05,2.23958e-05
43,175.129,0.76553,0.62248,0.99084,0.90848,0.86642,0.91085,0.77894,0.65908,0.44029,0.89672,2.00396e-05,2.00396e-05,2.00396e-05
44,178.97,0.74115,0.5573,0.94643,0.91126,0.8605,0.91066,0.7808,0.66113,0.44154,0.89723,1.76834e-05,1.76834e-05,1.76834e-05
45,182.849,0.7423,0.56417,0.94876,0.91186,0.85956,0.90996,0.77778,0.66261,0.44272,0.89681,1.53272e-05,1.53272e-05,1.53272e-05
46,186.651,0.73962,0.52746,0.97891,0.91965,0.8561,0.90993,0.77777,0.66174,0.44393,0.89624,1.2971e-05,1.2971e-05,1.2971e-05
47,190.468,0.75242,0.55624,0.94723,0.91235,0.85655,0.90874,0.77577,0.66358,0.44757,0.89669,1.06148e-05,1.06148e-05,1.06148e-05
48,194.309,0.73187,0.5349,0.94097,0.9195,0.85263,0.90883,0.77517,0.66337,0.44767,0.89663,8.2586e-06,8.2586e-06,8.2586e-06
49,198.089,0.72945,0.51834,0.95122,0.92206,0.85099,0.90877,0.7775,0.66251,0.44631,0.89587,5.9024e-06,5.9024e-06,5.9024e-06
50,201.945,0.79357,0.60254,0.98345,0.91786,0.85349,0.90973,0.77529,0.66479,0.44768,0.89699,3.5462e-06,3.5462e-06,3.5462e-06
