epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.1129,1.23655,1.19468,1.33872,0.78131,0.74607,0.82463,0.65925,0.7047,0.65081,0.9991,0.0802625,8.86269e-05,8.86269e-05
2,80.0013,1.21124,1.12881,1.30439,0.80268,0.75654,0.82334,0.65123,0.72048,0.65018,1.00763,0.0603484,0.000174472,0.000174472
3,118.55,1.18183,1.07479,1.28422,0.77895,0.75603,0.83085,0.66551,0.70524,0.65423,0.99785,0.0404307,0.000256743,0.000256743
4,156.725,1.18764,1.07827,1.27776,0.8116,0.74073,0.83468,0.66645,0.70344,0.64942,0.99454,0.0205094,0.00033544,0.00033544
5,195.013,1.17768,1.06907,1.26654,0.79293,0.75847,0.8373,0.66775,0.70093,0.64045,0.99414,0.000584476,0.000410563,0.000410563
6,232.905,1.15529,1.04229,1.25912,0.79797,0.759,0.83026,0.65543,0.70964,0.64259,0.99496,0.000402342,0.000402342,0.000402342
7,270.696,1.13462,1.02143,1.25608,0.80712,0.76637,0.83206,0.6573,0.70168,0.64147,0.99479,0.000393406,0.000393406,0.000393406
8,308.321,1.14782,1.03575,1.25598,0.81251,0.75535,0.83727,0.65956,0.69878,0.6457,0.99459,0.00038447,0.00038447,0.00038447
9,345.999,1.12455,0.9962,1.2385,0.79313,0.7817,0.84376,0.66589,0.70594,0.63859,0.98811,0.000375534,0.000375534,0.000375534
10,383.71,1.12239,0.97454,1.23207,0.83212,0.75256,0.84275,0.66589,0.70011,0.63918,0.98739,0.000366598,0.000366598,0.000366598
11,421.779,1.1117,0.97919,1.22477,0.8181,0.76632,0.84396,0.67107,0.68759,0.6311,0.98231,0.000357662,0.000357662,0.000357662
12,459.997,1.09819,0.9638,1.21819,0.82033,0.7692,0.83954,0.66622,0.6919,0.64995,0.98489,0.000348726,0.000348726,0.000348726
13,498.018,1.10704,0.98235,1.22595,0.83182,0.75736,0.83783,0.66392,0.70787,0.63642,0.99644,0.00033979,0.00033979,0.00033979
14,535.995,1.1099,0.96294,1.22768,0.84796,0.76195,0.84654,0.67343,0.69327,0.63881,0.98319,0.000330854,0.000330854,0.000330854
15,574.33,1.10647,0.94582,1.21794,0.80514,0.7747,0.84436,0.67204,0.68463,0.62371,0.98163,0.000321918,0.000321918,0.000321918
16,612.348,1.08262,0.93796,1.21255,0.82217,0.76087,0.83797,0.6669,0.69739,0.62964,0.98884,0.000312982,0.000312982,0.000312982
17,650.048,1.08625,0.93524,1.20998,0.83197,0.74782,0.84413,0.67032,0.69109,0.62597,0.98268,0.000304046,0.000304046,0.000304046
18,688.37,1.0733,0.91455,1.20127,0.81916,0.76646,0.84624,0.67515,0.68647,0.61645,0.97793,0.00029511,0.00029511,0.00029511
19,726.146,1.06112,0.91162,1.19986,0.81762,0.76702,0.84888,0.67879,0.68676,0.60622,0.97816,0.000286174,0.000286174,0.000286174
20,764.172,1.06629,0.91661,1.20089,0.80423,0.76442,0.84432,0.67624,0.68185,0.62649,0.97792,0.000277239,0.000277239,0.000277239
21,802.105,1.09077,0.91645,1.20231,0.79949,0.76662,0.84254,0.66866,0.6842,0.62387,0.98053,0.000268303,0.000268303,0.000268303
22,839.963,1.06314,0.90968,1.20024,0.81402,0.76987,0.84581,0.6746,0.68625,0.61375,0.97659,0.000259367,0.000259367,0.000259367
23,877.815,1.05319,0.89301,1.18682,0.81901,0.76416,0.84897,0.68062,0.67427,0.60419,0.97192,0.000250431,0.000250431,0.000250431
24,915.611,1.05375,0.88823,1.18733,0.82583,0.77554,0.84843,0.67873,0.68105,0.62048,0.97964,0.000241495,0.000241495,0.000241495
25,953.432,1.05454,0.89377,1.18959,0.83236,0.75858,0.84528,0.67988,0.6832,0.60327,0.9784,0.000232559,0.000232559,0.000232559
26,991.138,1.05952,0.89753,1.19,0.84002,0.75258,0.84571,0.67885,0.67482,0.60594,0.97455,0.000223623,0.000223623,0.000223623
27,1028.79,1.04435,0.86333,1.17596,0.8345,0.76185,0.84942,0.68346,0.67841,0.60345,0.97256,0.000214687,0.000214687,0.000214687
28,1066.65,1.04594,0.86527,1.18138,0.84158,0.74955,0.8508,0.68117,0.67639,0.60255,0.97316,0.000205751,0.000205751,0.000205751
29,1104.34,1.05753,0.87829,1.18792,0.80058,0.79172,0.84616,0.67793,0.68007,0.61975,0.97589,0.000196815,0.000196815,0.000196815
30,1142.37,1.05911,0.89149,1.19655,0.82094,0.77275,0.84824,0.67991,0.68033,0.62433,0.97816,0.000187879,0.000187879,0.000187879
31,1180.21,1.04418,0.882,1.18716,0.82871,0.75944,0.84831,0.67556,0.6818,0.61026,0.97863,0.000178943,0.000178943,0.000178943
32,1218.65,1.04021,0.86608,1.17968,0.84974,0.74585,0.84819,0.67819,0.68412,0.61582,0.98003,0.000170007,0.000170007,0.000170007
33,1256.63,1.04089,0.86709,1.17932,0.8142,0.78082,0.85157,0.67808,0.68637,0.61494,0.97837,0.000161071,0.000161071,0.000161071
34,1294.69,1.04113,0.86815,1.18194,0.83526,0.77513,0.8536,0.68288,0.67088,0.5887,0.97002,0.000152135,0.000152135,0.000152135
35,1359.08,1.03324,0.86152,1.17974,0.80508,0.79215,0.85299,0.68482,0.67683,0.60446,0.97334,0.000143199,0.000143199,0.000143199
36,1413.34,1.03047,0.85207,1.17287,0.82971,0.78243,0.85034,0.68014,0.6722,0.60527,0.97119,0.000134263,0.000134263,0.000134263
37,1475.66,1.04058,0.87297,1.18802,0.82368,0.76756,0.84864,0.68207,0.67384,0.61313,0.97494,0.000125327,0.000125327,0.000125327
38,1513.61,1.02459,0.85993,1.17593,0.81292,0.78905,0.84755,0.67929,0.67573,0.60132,0.97388,0.000116391,0.000116391,0.000116391
39,1551.39,1.02149,0.84092,1.16675,0.82,0.77836,0.84788,0.6798,0.67563,0.60668,0.97403,0.000107455,0.000107455,0.000107455
40,1589.33,1.04544,0.86901,1.17987,0.84191,0.75724,0.85141,0.68346,0.67319,0.61635,0.9719,9.85195e-05,9.85195e-05,9.85195e-05
41,1628.21,0.83526,0.59861,1.04618,0.81176,0.78191,0.84749,0.67498,0.68214,0.60385,0.9779,8.95836e-05,8.95836e-05,8.95836e-05
42,1667.03,0.83423,0.58811,1.04689,0.83284,0.76026,0.8453,0.67454,0.68388,0.60844,0.97763,8.06476e-05,8.06476e-05,8.06476e-05
43,1704.73,0.81779,0.5713,1.03757,0.82768,0.76399,0.84836,0.68029,0.67409,0.60018,0.97333,7.17116e-05,7.17116e-05,7.17116e-05
44,1742.16,0.81675,0.68144,1.04033,0.82339,0.77381,0.85076,0.68438,0.67124,0.59164,0.96991,6.27757e-05,6.27757e-05,6.27757e-05
45,1779.56,0.82902,0.57468,1.04295,0.84504,0.7667,0.84959,0.68071,0.66936,0.59555,0.96869,5.38397e-05,5.38397e-05,5.38397e-05
46,1817.16,0.81353,0.56239,1.03738,0.83909,0.78474,0.85309,0.68316,0.6673,0.59448,0.96642,4.49038e-05,4.49038e-05,4.49038e-05
47,1854.61,0.81195,0.55832,1.03895,0.82284,0.78131,0.85174,0.68467,0.67078,0.59683,0.96841,3.59678e-05,3.59678e-05,3.59678e-05
48,1891.98,0.80989,0.54905,1.02625,0.82968,0.76975,0.85224,0.68156,0.67002,0.59792,0.96868,2.70319e-05,2.70319e-05,2.70319e-05
49,1929.4,0.81301,0.55611,1.03112,0.82173,0.79076,0.85357,0.68516,0.66677,0.59557,0.96681,1.80959e-05,1.80959e-05,1.80959e-05
50,1967.06,0.81019,0.55722,1.03133,0.8313,0.78001,0.85192,0.68228,0.66709,0.59871,0.96715,9.15999e-06,9.15999e-06,9.15999e-06
