epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.896,1.23556,1.20723,1.26272,0.59338,0.38244,0.48188,0.33831,1.12483,1.49091,1.22725,0.0802453,7.1415e-05,7.1415e-05
2,58.1701,1.26863,1.2127,1.27865,0.51044,0.41898,0.46142,0.31493,1.04167,1.44056,1.19582,0.0603145,0.000140588,0.000140588
3,86.1193,1.22242,1.18963,1.25601,0.65294,0.64198,0.67942,0.49047,0.88411,0.89354,1.07447,0.0403808,0.000206879,0.000206879
4,113.531,1.20675,1.15425,1.24804,0.6686,0.66156,0.67879,0.48255,0.85561,0.83911,1.05305,0.0204442,0.000270289,0.000270289
5,140.518,1.22176,1.17506,1.25834,0.67113,0.64817,0.68468,0.49535,0.85436,0.83943,1.0621,0.000504732,0.000330819,0.000330819
6,167.865,1.21655,1.17159,1.25903,0.66422,0.62679,0.65373,0.45653,0.91772,0.874,1.08641,0.000324192,0.000324192,0.000324192
7,195.06,1.23048,1.18789,1.27375,0.67577,0.63685,0.68527,0.4944,0.85422,0.85778,1.06455,0.000316989,0.000316989,0.000316989
8,222.399,1.17228,1.11597,1.22873,0.65472,0.64414,0.67531,0.48317,0.87586,0.8407,1.07335,0.000309786,0.000309786,0.000309786
9,249.297,1.17833,1.12254,1.23896,0.67832,0.6389,0.67805,0.49547,0.82895,0.90759,1.05684,0.000302583,0.000302583,0.000302583
10,276.346,1.16439,1.0706,1.21993,0.70422,0.64882,0.69768,0.51706,0.81045,0.8289,1.05171,0.00029538,0.00029538,0.00029538
11,303.538,1.14358,1.04905,1.21904,0.71136,0.67982,0.72139,0.52074,0.83821,0.78965,1.06233,0.000288177,0.000288177,0.000288177
12,330.912,1.13624,1.0248,1.20539,0.68863,0.654,0.69631,0.50874,0.80408,0.81349,1.03616,0.000280973,0.000280973,0.000280973
13,357.973,1.13643,1.02151,1.20634,0.68583,0.64994,0.69126,0.51069,0.81531,0.84493,1.03527,0.00027377,0.00027377,0.00027377
14,384.947,1.13538,0.99747,1.20113,0.7472,0.65785,0.74136,0.55248,0.78937,0.75773,1.03027,0.000266567,0.000266567,0.000266567
15,412.218,1.11331,0.978,1.19231,0.73597,0.65543,0.71442,0.52611,0.81212,0.77114,1.03908,0.000259364,0.000259364,0.000259364
16,439.449,1.09731,0.96641,1.18323,0.70374,0.67306,0.72865,0.54451,0.79756,0.75832,1.03162,0.000252161,0.000252161,0.000252161
17,466.31,1.08361,0.93302,1.17769,0.70015,0.67787,0.73075,0.54474,0.80626,0.75648,1.03422,0.000244958,0.000244958,0.000244958
18,493.221,1.08612,0.92831,1.16848,0.70018,0.67862,0.70684,0.52355,0.80748,0.76736,1.03353,0.000237755,0.000237755,0.000237755
19,520.083,1.06506,0.91096,1.15952,0.66959,0.68448,0.72554,0.54255,0.77882,0.77963,1.01691,0.000230552,0.000230552,0.000230552
20,547.22,1.04466,0.8703,1.14518,0.7532,0.65148,0.73184,0.55877,0.75744,0.74237,1.01216,0.000223349,0.000223349,0.000223349
21,574.506,1.05412,0.88368,1.14885,0.72844,0.66664,0.73631,0.54661,0.7946,0.7345,1.02061,0.000216146,0.000216146,0.000216146
22,601.618,1.04045,0.86489,1.14826,0.7186,0.71371,0.74707,0.56502,0.76039,0.7265,1.01069,0.000208943,0.000208943,0.000208943
23,628.726,1.04071,0.86602,1.14445,0.76296,0.66317,0.7531,0.57235,0.76984,0.73427,1.00885,0.00020174,0.00020174,0.00020174
24,656.146,1.02133,0.84918,1.13794,0.72926,0.69432,0.73011,0.55068,0.77793,0.74601,1.01857,0.000194537,0.000194537,0.000194537
25,683.062,1.02787,0.84042,1.13778,0.77436,0.67376,0.74221,0.56473,0.76721,0.72578,1.01335,0.000187334,0.000187334,0.000187334
26,709.953,1.00757,0.8332,1.12935,0.7941,0.6768,0.76036,0.56982,0.77511,0.72701,1.01807,0.000180131,0.000180131,0.000180131
27,737.08,1.02324,0.83432,1.13173,0.75232,0.6911,0.75317,0.574,0.75723,0.72263,1.0087,0.000172928,0.000172928,0.000172928
28,764.575,0.99494,0.80886,1.12072,0.75931,0.65751,0.72969,0.55547,0.76543,0.75049,1.01089,0.000165724,0.000165724,0.000165724
29,791.642,0.98822,0.79088,1.11172,0.76102,0.67665,0.74521,0.57316,0.73498,0.74272,0.99744,0.000158521,0.000158521,0.000158521
30,818.659,0.98644,0.7838,1.11132,0.71507,0.69857,0.7454,0.56493,0.76885,0.73997,1.01117,0.000151318,0.000151318,0.000151318
31,845.738,0.99132,0.77706,1.11192,0.75599,0.6973,0.76011,0.5784,0.74265,0.7152,0.99445,0.000144115,0.000144115,0.000144115
32,873.241,0.96547,0.7608,1.09996,0.78896,0.68011,0.75167,0.57021,0.74844,0.72554,0.99547,0.000136912,0.000136912,0.000136912
33,900.156,0.94411,0.7477,1.08892,0.75946,0.66798,0.74558,0.56829,0.74224,0.73153,0.99572,0.000129709,0.000129709,0.000129709
34,927.213,0.95139,0.754,1.09767,0.76747,0.67795,0.75107,0.57994,0.75002,0.72288,1.00541,0.000122506,0.000122506,0.000122506
35,954.446,0.95867,0.7477,1.09918,0.76083,0.68647,0.74858,0.58343,0.73618,0.71931,0.99251,0.000115303,0.000115303,0.000115303
36,981.852,0.92921,0.73117,1.08585,0.79065,0.66871,0.74529,0.57601,0.74182,0.73298,1.00005,0.0001081,0.0001081,0.0001081
37,1008.76,0.92348,0.7221,1.07863,0.78046,0.673,0.74658,0.56929,0.74384,0.74745,1.00284,0.000100897,0.000100897,0.000100897
38,1035.92,0.93168,0.72307,1.08711,0.79506,0.67726,0.74988,0.57456,0.73397,0.73987,1.00039,9.36939e-05,9.36939e-05,9.36939e-05
39,1062.88,0.90675,0.6942,1.07519,0.80298,0.6784,0.74905,0.58354,0.73096,0.73802,0.99966,8.64908e-05,8.64908e-05,8.64908e-05
40,1090.33,0.9288,0.70149,1.07654,0.78927,0.67855,0.74736,0.57262,0.73416,0.73018,1.00129,7.92878e-05,7.92878e-05,7.92878e-05
41,1118.61,0.7163,0.45053,0.95339,0.80438,0.65313,0.74741,0.5821,0.7161,0.74548,0.99428,7.20847e-05,7.20847e-05,7.20847e-05
42,1145.35,0.71353,0.43929,0.9504,0.78627,0.68929,0.74754,0.58185,0.7147,0.74296,0.9864,6.48817e-05,6.48817e-05,6.48817e-05
43,1172.09,0.69329,0.42778,0.94173,0.80579,0.68292,0.75646,0.58983,0.71236,0.73058,0.99104,5.76786e-05,5.76786e-05,5.76786e-05
44,1198.94,0.6845,0.45115,0.9421,0.82046,0.66179,0.75463,0.59154,0.71123,0.74541,0.98822,5.04755e-05,5.04755e-05,5.04755e-05
45,1226.1,0.68394,0.41932,0.9392,0.81433,0.6737,0.7537,0.588,0.70571,0.74054,0.99009,4.32725e-05,4.32725e-05,4.32725e-05
46,1252.81,0.66654,0.4068,0.93037,0.81061,0.68265,0.75506,0.58918,0.70602,0.73694,0.99174,3.60694e-05,3.60694e-05,3.60694e-05
47,1279.53,0.65549,0.39524,0.92578,0.81321,0.67394,0.75052,0.58969,0.70885,0.75594,0.98768,2.88664e-05,2.88664e-05,2.88664e-05
48,1306.23,0.64583,0.38382,0.91865,0.78585,0.6756,0.74228,0.58149,0.7094,0.77308,0.99183,2.16633e-05,2.16633e-05,2.16633e-05
49,1333.13,0.64996,0.38454,0.91953,0.81067,0.67291,0.75086,0.58918,0.69823,0.75589,0.98605,1.44602e-05,1.44602e-05,1.44602e-05
50,1359.89,0.6403,0.37922,0.91899,0.80897,0.68509,0.75024,0.58501,0.70152,0.75953,0.98832,7.25718e-06,7.25718e-06,7.25718e-06
