epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0332,1.24029,1.20694,1.274,0.59347,0.50473,0.54409,0.36347,1.04169,1.23541,1.18488,0.0671055,0.00014893,0.00014893
2,57.7436,1.26926,1.26257,1.28885,0.62457,0.54636,0.59012,0.4128,0.8754,1.0867,1.08169,0.0339164,0.000293183,0.000293183
3,85.3651,1.2594,1.24027,1.28227,0.58112,0.57711,0.56958,0.3926,0.94106,1.11156,1.1215,0.000721283,0.000431428,0.000431428
4,112.36,1.28077,1.29063,1.30668,0.58045,0.56041,0.56841,0.39154,1.00026,1.07034,1.12859,0.000423669,0.000423669,0.000423669
5,139.316,1.26152,1.26192,1.29689,0.59329,0.64058,0.63465,0.45005,0.92719,0.90369,1.10162,0.000414656,0.000414656,0.000414656
6,166.367,1.24185,1.21523,1.2786,0.64147,0.61104,0.62879,0.44139,0.90814,0.93249,1.10016,0.000405643,0.000405643,0.000405643
7,193.634,1.23608,1.19126,1.27551,0.6118,0.63401,0.6409,0.44703,0.91772,0.90866,1.11574,0.00039663,0.00039663,0.00039663
8,220.626,1.1978,1.13655,1.24734,0.69722,0.63563,0.69196,0.48587,0.87916,0.87242,1.09033,0.000387617,0.000387617,0.000387617
9,247.938,1.17593,1.11454,1.24106,0.71232,0.64056,0.68701,0.48799,0.88365,0.85865,1.08501,0.000378604,0.000378604,0.000378604
10,275.202,1.1668,1.08965,1.23658,0.64987,0.66514,0.66036,0.46773,0.88791,0.90085,1.09041,0.000369591,0.000369591,0.000369591
11,302.511,1.1735,1.07843,1.232,0.69909,0.62852,0.69677,0.49601,0.88526,0.8548,1.07381,0.000360578,0.000360578,0.000360578
12,329.703,1.15763,1.04173,1.21569,0.69315,0.60779,0.65717,0.47621,0.84483,0.89543,1.05907,0.000351566,0.000351566,0.000351566
13,356.581,1.13734,1.02904,1.21041,0.69815,0.67158,0.71328,0.52597,0.83427,0.80246,1.06032,0.000342553,0.000342553,0.000342553
14,383.711,1.13882,1.02045,1.21342,0.72422,0.66804,0.71569,0.52478,0.8257,0.78576,1.06146,0.00033354,0.00033354,0.00033354
15,410.767,1.1211,0.9854,1.19958,0.6964,0.66812,0.70816,0.52326,0.83559,0.79286,1.05736,0.000324527,0.000324527,0.000324527
16,437.635,1.09236,0.97953,1.19186,0.71289,0.67673,0.70907,0.52919,0.82644,0.78888,1.04729,0.000315514,0.000315514,0.000315514
17,464.713,1.08983,0.95454,1.17684,0.74413,0.66431,0.72353,0.53996,0.80409,0.75315,1.04442,0.000306501,0.000306501,0.000306501
18,491.827,1.0852,0.9454,1.17445,0.72374,0.65887,0.70295,0.51692,0.81181,0.82827,1.04782,0.000297488,0.000297488,0.000297488
19,519.171,1.08307,0.93899,1.17237,0.74321,0.66212,0.72196,0.53236,0.80894,0.79801,1.03679,0.000288475,0.000288475,0.000288475
20,546.524,1.0672,0.9121,1.16717,0.72552,0.66323,0.70491,0.52635,0.80107,0.79613,1.03951,0.000279462,0.000279462,0.000279462
21,573.678,1.07346,0.92595,1.17211,0.6994,0.65701,0.70167,0.52618,0.8025,0.79844,1.03541,0.000270449,0.000270449,0.000270449
22,600.607,1.0481,0.88248,1.15204,0.71489,0.6669,0.71246,0.53276,0.78513,0.8091,1.02946,0.000261436,0.000261436,0.000261436
23,629.185,1.0402,0.8845,1.15389,0.73431,0.69686,0.72691,0.54638,0.80758,0.76006,1.03687,0.000252423,0.000252423,0.000252423
24,656.363,1.02503,0.85951,1.14153,0.73953,0.67846,0.71581,0.53895,0.79522,0.76967,1.03357,0.00024341,0.00024341,0.00024341
25,683.402,1.01028,0.83756,1.13373,0.72504,0.64321,0.71583,0.53467,0.79783,0.79923,1.03435,0.000234397,0.000234397,0.000234397
26,711.724,1.01036,0.83702,1.12694,0.77074,0.67188,0.73728,0.55815,0.78373,0.76044,1.02795,0.000225384,0.000225384,0.000225384
27,739.377,1.01101,0.83066,1.13082,0.7597,0.68043,0.73968,0.55711,0.7937,0.77577,1.02092,0.000216371,0.000216371,0.000216371
28,766.393,0.98774,0.80806,1.11885,0.76407,0.67087,0.73714,0.56217,0.74355,0.73821,1.01271,0.000207358,0.000207358,0.000207358
29,793.709,0.98835,0.78973,1.11588,0.72857,0.68073,0.7359,0.56018,0.76805,0.75205,1.02378,0.000198345,0.000198345,0.000198345
30,824.511,0.99043,0.79749,1.11411,0.75161,0.66894,0.7366,0.56377,0.75075,0.7372,1.00864,0.000189332,0.000189332,0.000189332
31,852.104,0.98237,0.78655,1.113,0.76627,0.65734,0.73238,0.55999,0.75291,0.75302,1.02021,0.000180319,0.000180319,0.000180319
32,884.842,0.97469,0.78403,1.10942,0.76218,0.67754,0.72926,0.56157,0.75813,0.78965,1.01776,0.000171306,0.000171306,0.000171306
33,913.59,0.96265,0.76365,1.10396,0.77204,0.66862,0.74344,0.57316,0.74509,0.74916,1.00885,0.000162293,0.000162293,0.000162293
34,940.63,0.94793,0.74679,1.09375,0.75606,0.68832,0.74174,0.56295,0.75007,0.7329,1.01757,0.00015328,0.00015328,0.00015328
35,970.457,0.94783,0.75115,1.09628,0.70397,0.70828,0.73126,0.55867,0.7428,0.71667,1.01244,0.000144268,0.000144268,0.000144268
36,997.55,0.92684,0.71617,1.08258,0.77488,0.65295,0.74213,0.57122,0.7421,0.76315,1.0099,0.000135255,0.000135255,0.000135255
37,1035.72,0.93944,0.71667,1.08565,0.76629,0.67606,0.73474,0.56936,0.73494,0.74269,1.00477,0.000126242,0.000126242,0.000126242
38,1066.34,0.91805,0.71783,1.07712,0.75971,0.66898,0.7318,0.56212,0.75879,0.75831,1.00864,0.000117229,0.000117229,0.000117229
39,1093.61,0.91505,0.70611,1.07769,0.7689,0.68277,0.74774,0.57591,0.73299,0.7265,1.00332,0.000108216,0.000108216,0.000108216
40,1120.86,0.90518,0.6881,1.07014,0.74847,0.66019,0.7384,0.57283,0.72568,0.74296,1.00006,9.92028e-05,9.92028e-05,9.92028e-05
41,1149.14,0.72465,0.45924,0.95977,0.75223,0.69433,0.74393,0.58467,0.71596,0.75955,1.00008,9.01898e-05,9.01898e-05,9.01898e-05
42,1176.45,0.72138,0.44831,0.95561,0.78195,0.66944,0.74278,0.58093,0.71628,0.75917,0.99628,8.11768e-05,8.11768e-05,8.11768e-05
43,1203.19,0.70084,0.43044,0.94737,0.74685,0.69258,0.73852,0.57659,0.71644,0.76927,0.99843,7.21639e-05,7.21639e-05,7.21639e-05
44,1229.87,0.69393,0.45647,0.94882,0.75443,0.70199,0.73317,0.57202,0.71939,0.77053,1.00312,6.31509e-05,6.31509e-05,6.31509e-05
45,1256.52,0.69336,0.42795,0.94612,0.78757,0.67416,0.74392,0.58561,0.71731,0.76525,1.00282,5.4138e-05,5.4138e-05,5.4138e-05
46,1283.58,0.67136,0.41524,0.93508,0.78381,0.67806,0.74258,0.57994,0.71832,0.78175,1.00201,4.5125e-05,4.5125e-05,4.5125e-05
47,1310.22,0.66124,0.39993,0.93037,0.77663,0.67824,0.74459,0.58698,0.71495,0.77942,0.99732,3.61121e-05,3.61121e-05,3.61121e-05
48,1337.28,0.65358,0.38875,0.923,0.78168,0.67361,0.74437,0.58784,0.71081,0.77575,0.999,2.70991e-05,2.70991e-05,2.70991e-05
49,1364.35,0.65542,0.38823,0.92338,0.78761,0.665,0.74074,0.58635,0.70802,0.76977,0.99839,1.80862e-05,1.80862e-05,1.80862e-05
50,1391.22,0.64193,0.38509,0.92077,0.79648,0.66331,0.7404,0.58414,0.70699,0.7836,0.99819,9.0732e-06,9.0732e-06,9.0732e-06
