epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.31265,1.09946,1.2589,1.22439,0.81636,0.65915,0.75991,0.58986,0.92939,0.77379,1.03225,8.33e-06,8.33e-06,8.33e-06
2,9.99634,1.06247,1.06379,1.16278,0.81167,0.69214,0.77886,0.60669,0.91235,0.74485,1.02024,1.74966e-05,1.74966e-05,1.74966e-05
3,12.6768,1.03371,0.96876,1.19208,0.79765,0.71612,0.78986,0.61254,0.90021,0.72435,1.01363,2.62861e-05,2.62861e-05,2.62861e-05
4,15.3245,1.01009,0.95385,1.12389,0.81235,0.70974,0.79548,0.62078,0.88867,0.70528,1.0058,3.46987e-05,3.46987e-05,3.46987e-05
5,17.9442,0.99474,0.91899,1.13395,0.8065,0.73206,0.80544,0.62795,0.8742,0.69276,0.99615,4.27343e-05,4.27343e-05,4.27343e-05
6,20.5768,1.01967,0.9301,1.12322,0.80004,0.75726,0.81691,0.63928,0.85986,0.67652,0.9916,5.03929e-05,5.03929e-05,5.03929e-05
7,23.169,0.96793,0.85266,1.1093,0.81501,0.75552,0.82167,0.64995,0.8484,0.66734,0.98865,5.76745e-05,5.76745e-05,5.76745e-05
8,25.7656,0.96869,0.82107,1.1138,0.81727,0.763,0.83112,0.65759,0.83607,0.64662,0.98364,6.45792e-05,6.45792e-05,6.45792e-05
9,28.3376,0.93821,0.83543,1.1068,0.82802,0.76872,0.84029,0.67024,0.82387,0.62379,0.97687,7.11068e-05,7.11068e-05,7.11068e-05
10,30.9416,0.933,0.81064,1.10831,0.84662,0.76588,0.84457,0.67496,0.81895,0.61252,0.97501,7.72574e-05,7.72574e-05,7.72574e-05
11,33.5262,0.91273,0.77987,1.07683,0.87,0.76701,0.85076,0.68831,0.80485,0.59257,0.96841,8.30311e-05,8.30311e-05,8.30311e-05
12,36.1489,0.93265,0.75781,1.07073,0.87814,0.78444,0.86016,0.69603,0.79867,0.57686,0.96469,8.84277e-05,8.84277e-05,8.84277e-05
13,38.7166,0.91467,0.7541,1.08199,0.89632,0.78913,0.87014,0.71259,0.78743,0.56262,0.9579,9.07256e-05,9.07256e-05,9.07256e-05
14,41.326,0.89258,0.74973,1.07282,0.89602,0.78698,0.87935,0.71428,0.77709,0.54992,0.95423,8.83694e-05,8.83694e-05,8.83694e-05
15,43.8858,0.85948,0.67914,1.05309,0.90889,0.78086,0.88209,0.72457,0.76253,0.53551,0.9481,8.60132e-05,8.60132e-05,8.60132e-05
16,46.5008,0.86315,0.72418,1.05627,0.86347,0.80931,0.88094,0.72777,0.75421,0.52464,0.94257,8.3657e-05,8.3657e-05,8.3657e-05
17,49.0882,0.83773,0.66612,1.04001,0.86853,0.81963,0.88695,0.73521,0.74815,0.52048,0.93745,8.13008e-05,8.13008e-05,8.13008e-05
18,51.6946,0.87006,0.7163,1.06776,0.85473,0.82776,0.88919,0.7372,0.74099,0.51337,0.93236,7.89446e-05,7.89446e-05,7.89446e-05
19,54.2737,0.83933,0.65586,1.03331,0.87792,0.82418,0.89087,0.74253,0.73723,0.50482,0.93015,7.65884e-05,7.65884e-05,7.65884e-05
20,56.876,0.83094,0.64724,1.0242,0.92375,0.80347,0.89409,0.74675,0.72571,0.4977,0.92599,7.42322e-05,7.42322e-05,7.42322e-05
21,59.4608,0.82814,0.65638,1.04269,0.93121,0.80073,0.89445,0.75141,0.71677,0.48839,0.92257,7.1876e-05,7.1876e-05,7.1876e-05
22,62.0552,0.87293,0.65929,1.05319,0.91911,0.81065,0.89608,0.75353,0.71067,0.48119,0.92083,6.95198e-05,6.95198e-05,6.95198e-05
23,64.6324,0.86341,0.69064,1.05169,0.92321,0.81838,0.89722,0.75869,0.70583,0.4749,0.91872,6.71636e-05,6.71636e-05,6.71636e-05
24,67.2527,0.76181,0.59004,1.01261,0.91679,0.83087,0.89911,0.76678,0.69989,0.46834,0.91619,6.48074e-05,6.48074e-05,6.48074e-05
25,69.8771,0.82988,0.64751,1.03195,0.92199,0.83398,0.90004,0.76468,0.69601,0.46483,0.91368,6.24512e-05,6.24512e-05,6.24512e-05
26,72.3617,0.8399,0.64169,1.03311,0.90839,0.84313,0.90037,0.76507,0.69176,0.46285,0.91123,6.0095e-05,6.0095e-05,6.0095e-05
