epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.3417,1.37058,1.40648,1.40906,0.50901,0.38587,0.41551,0.25313,1.30724,1.52117,1.37731,0.0753667,0.000149282,0.000149282
2,81.0153,1.42603,1.53155,1.44973,0.52544,0.4436,0.44683,0.28061,1.19673,1.42557,1.33966,0.0505153,0.000297875,0.000297875
3,119.926,1.37664,1.47629,1.42738,0.55701,0.4986,0.53075,0.34838,1.00849,1.12982,1.22255,0.0256619,0.00044446,0.00044446
4,158.745,1.38375,1.46549,1.4242,0.51149,0.50481,0.49905,0.33643,0.96575,1.30701,1.19257,0.00080643,0.000589039,0.000589039
5,197.247,1.3871,1.47185,1.42971,0.59363,0.54034,0.56727,0.38052,0.98705,1.08482,1.1883,0.000586307,0.000586307,0.000586307
6,236.065,1.38679,1.4477,1.4229,0.50307,0.54874,0.52366,0.33913,1.0176,1.13929,1.21715,0.000582293,0.000582293,0.000582293
7,274.558,1.3737,1.4355,1.41432,0.58225,0.59494,0.60439,0.40895,0.94339,0.99657,1.16438,0.000578278,0.000578278,0.000578278
8,313.336,1.34021,1.38626,1.39869,0.7046,0.57984,0.62889,0.41409,1.00607,0.98354,1.2097,0.000574264,0.000574264,0.000574264
9,352.083,1.33519,1.39508,1.39383,0.60321,0.5953,0.61794,0.42907,0.91498,0.93215,1.14424,0.000570249,0.000570249,0.000570249
10,390.483,1.31295,1.3543,1.38045,0.6357,0.59769,0.64467,0.44752,0.94411,0.93175,1.15524,0.000566234,0.000566234,0.000566234
11,428.92,1.28984,1.28997,1.35839,0.63857,0.61679,0.64698,0.46198,0.9075,0.99997,1.14068,0.00056222,0.00056222,0.00056222
12,467.4,1.27469,1.27639,1.35508,0.69446,0.60765,0.66866,0.46563,0.88175,0.89594,1.1321,0.000558205,0.000558205,0.000558205
13,506.016,1.29137,1.27438,1.35414,0.62954,0.6008,0.63836,0.44899,0.8953,0.93992,1.13729,0.000554191,0.000554191,0.000554191
14,544.483,1.28064,1.25213,1.35063,0.64692,0.62045,0.64869,0.45261,0.95202,1.01979,1.14777,0.000550176,0.000550176,0.000550176
15,583.237,1.26264,1.24121,1.34228,0.64939,0.64091,0.66011,0.45871,0.91199,0.88622,1.12837,0.000546161,0.000546161,0.000546161
16,621.751,1.24756,1.21008,1.32221,0.68343,0.62391,0.66193,0.46598,0.88487,0.91207,1.11453,0.000542147,0.000542147,0.000542147
17,660.151,1.23915,1.20034,1.32017,0.6997,0.65472,0.67825,0.4945,0.86466,0.85246,1.10888,0.000538132,0.000538132,0.000538132
18,698.843,1.22791,1.18464,1.30949,0.64131,0.66934,0.67321,0.48043,0.86429,0.88091,1.10283,0.000534118,0.000534118,0.000534118
19,737.343,1.22119,1.18584,1.31636,0.64677,0.64979,0.65878,0.46965,0.86985,0.87034,1.11516,0.000530103,0.000530103,0.000530103
20,775.875,1.1996,1.15262,1.3054,0.70517,0.66372,0.70247,0.50741,0.84932,0.84196,1.08763,0.000526088,0.000526088,0.000526088
21,814.417,1.20211,1.13711,1.29691,0.71283,0.62971,0.68631,0.4958,0.86625,0.82751,1.10042,0.000522074,0.000522074,0.000522074
22,852.403,1.21114,1.1416,1.29669,0.67933,0.66661,0.69272,0.4977,0.87063,0.83808,1.09965,0.000518059,0.000518059,0.000518059
23,890.582,1.20045,1.1311,1.29188,0.71538,0.63684,0.69086,0.50071,0.85271,0.84661,1.09481,0.000514045,0.000514045,0.000514045
24,928.555,1.19172,1.1317,1.29379,0.67379,0.638,0.69011,0.50106,0.85729,0.86916,1.09575,0.00051003,0.00051003,0.00051003
25,966.484,1.18713,1.09784,1.28395,0.71235,0.63555,0.69312,0.50368,0.84807,0.84208,1.09849,0.000506015,0.000506015,0.000506015
