epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.284,1.31195,1.326,1.38586,0.73824,0.7777,0.82228,0.65736,0.71036,0.65936,1.00188,0.0753835,0.000166133,0.000166133
2,80.4403,1.27034,1.23231,1.34613,0.73468,0.74844,0.80799,0.63644,0.74109,0.72558,1.01651,0.0505444,0.000327054,0.000327054
3,118.526,1.2321,1.15309,1.30996,0.77344,0.73391,0.82003,0.65104,0.71447,0.66679,1.00574,0.0256987,0.000481278,0.000481278
4,156.67,1.22664,1.15432,1.31169,0.77693,0.71672,0.80598,0.63488,0.73137,0.72422,1.01474,0.000846194,0.000628803,0.000628803
5,194.613,1.20052,1.11227,1.28506,0.79538,0.74722,0.83182,0.65031,0.73536,0.65876,1.01386,0.000616777,0.000616777,0.000616777
6,232.871,1.20438,1.09638,1.28178,0.7804,0.75703,0.82435,0.64823,0.72692,0.66412,1.00775,0.000603381,0.000603381,0.000603381
7,271.053,1.18287,1.07583,1.27176,0.77765,0.75999,0.8284,0.64988,0.7255,0.6537,0.99924,0.000589985,0.000589985,0.000589985
8,308.993,1.16097,1.05797,1.25806,0.77555,0.76265,0.82494,0.64886,0.72378,0.6626,1.00305,0.000576589,0.000576589,0.000576589
9,346.937,1.15725,1.04301,1.25626,0.80945,0.72818,0.83008,0.65352,0.70899,0.66541,0.99226,0.000563193,0.000563193,0.000563193
10,384.877,1.14999,1.03226,1.25093,0.8001,0.74565,0.83258,0.66024,0.70768,0.61494,0.98881,0.000549797,0.000549797,0.000549797
11,423.321,1.1464,1.02924,1.25321,0.77476,0.75759,0.82249,0.6478,0.71582,0.67024,0.99392,0.000536401,0.000536401,0.000536401
12,462.631,1.14485,1.008,1.24737,0.80024,0.74248,0.8224,0.65208,0.71998,0.65862,0.99939,0.000523005,0.000523005,0.000523005
13,500.648,1.1248,0.98762,1.22848,0.79446,0.75881,0.83369,0.66263,0.70937,0.64234,0.99126,0.000509609,0.000509609,0.000509609
14,538.602,1.12199,0.9846,1.22285,0.81265,0.75408,0.83958,0.66233,0.69896,0.62946,0.9881,0.000496213,0.000496213,0.000496213
15,576.727,1.09734,0.95139,1.21587,0.80849,0.76567,0.83831,0.66208,0.71115,0.62933,0.99517,0.000482818,0.000482818,0.000482818
16,614.654,1.10614,0.96809,1.21986,0.80285,0.75026,0.8354,0.65723,0.71379,0.642,0.99675,0.000469422,0.000469422,0.000469422
17,652.794,1.09457,0.95319,1.21309,0.82309,0.75993,0.8397,0.66585,0.71451,0.63816,0.99304,0.000456026,0.000456026,0.000456026
18,691.927,1.10724,0.94778,1.21592,0.80695,0.75199,0.82914,0.65429,0.70438,0.63647,0.99,0.00044263,0.00044263,0.00044263
19,729.87,1.10254,0.94788,1.21367,0.80668,0.75054,0.82792,0.65365,0.70356,0.63464,0.99337,0.000429234,0.000429234,0.000429234
20,767.779,1.08814,0.92777,1.20673,0.82139,0.73686,0.82888,0.65731,0.71148,0.66015,0.99348,0.000415838,0.000415838,0.000415838
21,805.671,1.10085,0.94536,1.20977,0.81369,0.76176,0.83443,0.6654,0.70392,0.60749,0.99011,0.000402442,0.000402442,0.000402442
22,844.032,1.08826,0.93414,1.20875,0.80979,0.75841,0.83252,0.65883,0.70699,0.62369,0.99206,0.000389046,0.000389046,0.000389046
